fiscal_year,total_participation,total_lunches_served,percent_free_of_total_lunches,percent_reduced_price_of_total_lunches,snacks_served,cash_payments,total_commodity_costs,,,fiscal_year
17-Oct,30360793,570181798,68.80%,5.80%,22944318,1470619766,179805561,392138164,33153544,2018
17-Nov,30264184,494401221,67.20%,6.10%,20716473,1257427310,143551341,332033157,30141927,2018
17-Dec,29637686,391520580,67.20%,6.00%,15725655,994912763,114321103,263076040,23530953,2018
18-Jan,29551868,472917391,67.30%,6.10%,19892684,1205436587,146663736,318373574,28839740,2018
18-Feb,29831438,496059395,68.10%,6.00%,21143308,1275185081,106221335,337769835,29923907,2018
18-Mar,29693200,491726562,68.10%,6.00%,21091168,1262644704,70069151,334688524,29331278,2018
18-Apr,29974960,517471744,68.30%,5.90%,21384290,1331549316,44454387,353435101,30550298,2018
18-May,28731649,541808233,68.40%,5.80%,20904768,1392119205,16049881,370606988,31593593,2018
18-Jun,11994271,110034320,73.00%,4.70%,5384634,294848442,16140061,80304776,5192611,2018
18-Jul,1075662,13698250,92.40%,1.60%,2047251,45774842,120116874,12653559,215442,2018
18-Aug,20983598,260917213,72.00%,5.60%,9791250,714028592,145793722,187922288,14588439,2018
18-Sep,29643317,504984514,68.80%,5.90%,17738968,1335541778,140208938,347675206,29991691,2018
18-Oct,30129564,592044201,67.90%,5.80%,23607365,1547837783,183846779,401790725,34225383,2019
18-Nov,30029264,477835771,67.30%,5.90%,19279647,1241932860,127175259,321499102,27976054,2019
18-Dec,29525532,389794990,67.40%,5.80%,15663988,1013925589,102084827,262812180,22712654,2019
19-Jan,29444756,481003131,67.90%,5.90%,20130363,1259863774,154530884,326652682,28146471,2019
19-Feb,29693531,482852287,68.50%,5.80%,20057998,1273330429,105383271,330862407,28052373,2019
19-Mar,29526552,492169217,68.20%,5.70%,20765485,1292020936,71656834,335601543,28228695,2019
19-Apr,29685478,517379251,68.00%,5.80%,20611075,1355947523,68657310,351955764,30124480,2019
19-May,28324923,528696916,68.30%,5.60%,19324773,1385534791,45723350,361313325,29825800,2019
19-Jun,10970754,101320525,73.50%,4.30%,5033996,278576095,26089217,74458714,4403696,2019
19-Jul,1053535,14094110,91.70%,1.70%,2110502,48398366,145635693,12929559,239697,2019
19-Aug,20824977,251797971,71.60%,5.60%,9151345,708693406,156956966,180222340,14215427,2019
19-Sep,29661242,537728065,68.60%,5.80%,18643816,1464344226,142874004,369114903,31288443,2019
19-Oct,30173373,587393947,67.30%,5.70%,22301370,1575703243,185257702,395545251,33532911,2020
19-Nov,30013851,453957108,66.80%,5.80%,17605160,1211228198,154304531,303222785,26284705,2020
19-Dec,29599574,398290198,67.30%,5.70%,15562825,1068254401,128973303,268174015,22747072,2020
20-Jan,29567348,506735555,67.40%,5.70%,20057660,1359232343,141087364,341503727,28873400,2020
20-Feb,29792125,489758756,67.90%,5.70%,19534576,1322856834,101779325,332536067,28003059,2020
20-Mar,32552170,286683542,72.30%,4.90%,10827437,806050268,83908141,207149794,14056039,2020
20-Apr,6002899,100639959,99.90%,0.00%,2014953,354085997,50251533,100578779,19578,2020
20-May,5641086,95225671,99.90%,0.00%,2129201,335207550,30863533,95162326,23780,2020
20-Jun,3845306,62674008,99.90%,0.00%,1333673,220613502,14827665,62641660,7195,2020
20-Jul,1999732,37160161,99.80%,0.00%,753419,134436005,119409423,37102875,7356,2020
20-Aug,5631603,57241358,83.10%,2.90%,2021886,181873817,144393750,47594851,1670662,2020
20-Sep,8629615,133912147,90.40%,1.50%,4840508,451807145,141419483,121106819,2027309,2020
20-Oct,8397041,158951692,96.60%,0.50%,5740728,562574898,162773592,153609250,745612,2021
20-Nov,8365658,136355532,98.10%,0.20%,5775474,489496135,106298040,133801471,333459,2021
20-Dec,7870890,118660764,98.30%,0.20%,5653184,427013731,65953760,116618043,272453,2021
21-Jan,7963962,141034310,98.10%,0.20%,6899925,506961235,77472470,138408249,337933,2021
21-Feb,8592083,141463924,98.30%,0.20%,7775968,510194433,58796027,139036296,313117,2021
21-Mar,9386129,184268224,98.30%,0.20%,10035233,664514601,32496707,181193416,391558,2021
21-Apr,9945311,188809832,98.20%,0.20%,10840747,680955668,21568996,185387269,428031,2021
21-May,9879058,187134015,98.40%,0.20%,10789252,675787137,12101703,184081649,378675,2021
21-Jun,4865792,73426675,99.60%,0.10%,4502773,267967537,14123638,73106021,36784,2021
21-Jul,1564353,27824569,98.90%,0.30%,2330657,105403477,124742581,27529500.69,80167.42,2021
21-Aug,5337821,72289157,97.00%,0.50%,5023987,268690471,153422731,70154062.34,389094.27,2021